parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75234028,"Turnip, cooked, from fresh, made with butter",11565,"Turnips, cooked, boiled, drained, without salt",156
75234029,"Turnip, cooked, from fresh, made with margarine",2047,"Salt, table",1
75234029,"Turnip, cooked, from fresh, made with margarine",4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",3.10115
75234029,"Turnip, cooked, from fresh, made with margarine",4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",1.66985
75234029,"Turnip, cooked, from fresh, made with margarine",11565,"Turnips, cooked, boiled, drained, without salt",156
75401011,"Asparagus, from fresh, creamed or with cheese sauce",1164,"Cheese sauce, prepared from recipe",40.508
75401011,"Asparagus, from fresh, creamed or with cheese sauce",2047,"Salt, table",0.4
75401011,"Asparagus, from fresh, creamed or with cheese sauce",6166,"Sauce, homemade, white, medium",41.675
75401011,"Asparagus, from fresh, creamed or with cheese sauce",11012,"Asparagus, cooked, boiled, drained",180
75402011,"Beans, lima, immature, from fresh, creamed or with cheese sauce",1164,"Cheese sauce, prepared from recipe",40.508
75402011,"Beans, lima, immature, from fresh, creamed or with cheese sauce",2047,"Salt, table",0.4
75402011,"Beans, lima, immature, from fresh, creamed or with cheese sauce",6166,"Sauce, homemade, white, medium",41.675
75402011,"Beans, lima, immature, from fresh, creamed or with cheese sauce",11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",170
75402021,"Beans, lima, immature, cooked, from fresh, with mushroom sauce",1111,"Milk, averaged fat, with added vitamin A and D",30.5
75402021,"Beans, lima, immature, cooked, from fresh, with mushroom sauce",2047,"Salt, table",0.4
75402021,"Beans, lima, immature, cooked, from fresh, with mushroom sauce",6043,"Soup, cream of mushroom, canned, condensed",83.658
75402021,"Beans, lima, immature, cooked, from fresh, with mushroom sauce",11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",170
75403011,"Beans, string, green, from fresh, creamed or with cheese sauce",1164,"Cheese sauce, prepared from recipe",40.508
75403011,"Beans, string, green, from fresh, creamed or with cheese sauce",2047,"Salt, table",0.4
75403011,"Beans, string, green, from fresh, creamed or with cheese sauce",6166,"Sauce, homemade, white, medium",41.675
75403011,"Beans, string, green, from fresh, creamed or with cheese sauce",11053,"Beans, snap, green, cooked, boiled, drained, without salt",125
75403021,"Beans, string, green, cooked, from fresh, with mushroom sauce",1111,"Milk, averaged fat, with added vitamin A and D",30.5
75403021,"Beans, string, green, cooked, from fresh, with mushroom sauce",2047,"Salt, table",0.4
75403021,"Beans, string, green, cooked, from fresh, with mushroom sauce",6043,"Soup, cream of mushroom, canned, condensed",83.658
75403021,"Beans, string, green, cooked, from fresh, with mushroom sauce",11053,"Beans, snap, green, cooked, boiled, drained, without salt",125
75404011,"Beans, string, yellow, from fresh, creamed or with cheese sauce",1164,"Cheese sauce, prepared from recipe",40.508
75404011,"Beans, string, yellow, from fresh, creamed or with cheese sauce",2047,"Salt, table",0.4
75404011,"Beans, string, yellow, from fresh, creamed or with cheese sauce",6166,"Sauce, homemade, white, medium",41.675
75404011,"Beans, string, yellow, from fresh, creamed or with cheese sauce",11724,"Beans, snap, yellow, cooked, boiled, drained, without salt",125
75406011,"Brussels sprouts, from fresh, creamed",2047,"Salt, table",0.4
75406011,"Brussels sprouts, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75406011,"Brussels sprouts, from fresh, creamed",11099,"Brussels sprouts, cooked, boiled, drained, without salt",156
75409011,"Cauliflower, from fresh, creamed",2047,"Salt, table",0.4
75409011,"Cauliflower, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75409011,"Cauliflower, from fresh, creamed",11136,"Cauliflower, cooked, boiled, drained, without salt",124
75411031,"Corn, cooked, from fresh, with cream sauce, made with milk",2047,"Salt, table",0.4
75411031,"Corn, cooked, from fresh, with cream sauce, made with milk",6166,"Sauce, homemade, white, medium",125
75411031,"Corn, cooked, from fresh, with cream sauce, made with milk",11168,"Corn, sweet, yellow, cooked, boiled, drained, without salt",164
75414011,"Mushrooms, from fresh, creamed",2047,"Salt, table",0.4
75414011,"Mushrooms, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75414011,"Mushrooms, from fresh, creamed",11261,"Mushrooms, white, cooked, boiled, drained, without salt",156
75415011,"Onions, from fresh, creamed",2047,"Salt, table",0.4
75415011,"Onions, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
75415011,"Onions, from fresh, creamed",11283,"Onions, cooked, boiled, drained, without salt",210
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",11.25
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",1133,"Egg, whole, dried",3.75
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",2047,"Salt, table",0.5
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",4322,"Vegetable oil, averaged",35
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",11282,"Onions, raw",77.05
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",18372,"Leavening agents, baking soda",2.3
75415021,"Onion rings, from fresh, batter-dipped, baked or fried",20081,"Wheat flour, white, all-purpose, enriched, bleached",62.5
75417011,"Peas, from fresh, creamed",2047,"Salt, table",0.4
75417011,"Peas, from fresh, creamed",6166,"Sauce, homemade, white, medium",125
